,Ship,Date,Person 1,Person 2,Person 3,Person 4,Person 5,Person 6,Person 7
8952,Jason/Percy,03 May 2017,Jason,Percy,,,,,
8953,Percy/Octavian,03 May 2017,Percy,Octavian,,,,,
8954,Travis/Connor,03 May 2017,Travis,Connor,,,,,
8955,Leo/Nico,03 May 2017,Leo,Nico,,,,,
8956,Travis/Nico/Connor,03 May 2017,Travis,Nico,Connor,,,,
8957,Apollo/Hermes,03 May 2017,Apollo,Hermes,,,,,
8958,Luke/Ethan,03 May 2017,Luke,Ethan,,,,,
8959,Clovis/Mitchell,03 May 2017,Clovis,Mitchell,,,,,
8960,Apollo/Leo,03 May 2017,Apollo,Leo,,,,,
8961,Apollo/Nico,03 May 2017,Apollo,Nico,,,,,
8962,Malcolm/Mitchel,03 May 2017,Malcolm,Mitchel,,,,,
8963,Jake/Will,03 May 2017,Jake,Will,,,,,
8964,Mitchell/Nico,03 May 2017,Mitchell,Nico,,,,,
8965,Jason/Nico,03 May 2017,Jason,Nico,,,,,
8966,Nico di Angelo/Percy Jackson,03 May 2017,Nico,Percy,,,,,
8967,Bianca di Angelo/Percy Jackson,03 May 2017,Bianca,Percy,,,,,
8968,Annabeth Chase/Reyna Avila Ramírez-Arellano,01 May 2017,Annabeth,Reyna,,,,,
8969,Thalia Grace/Drew Tanaka,01 May 2017,Thalia,Drew,,,,,
8970,Nico di Angelo/Will Solace,01 May 2017,Nico,Will,,,,,
8971,Billie Ng/Valentina Diaz,01 May 2017,Billie Ng,Valentina Diaz,,,,,
8972,Calypso/Leo Valdez,01 May 2017,Calypso,Leo,,,,,
8973,Annabeth Chase/Percy Jackson,01 May 2017,Annabeth,Percy,,,,,
8974,Annabeth Chase/Percy Jackson,01 May 2017,Annabeth,Percy,,,,,
8975,Annabeth Chase/Percy Jackson,01 May 2017,Annabeth,Percy,,,,,
8976,Hazel Levesque/Frank Zhang,01 May 2017,Hazel,Frank,,,,,
8977,Jason Grace/Piper McLean,01 May 2017,Jason,Piper,,,,,
8978,Jason Grace/Percy Jackson,01 May 2017,Jason,Percy,,,,,
8979,Hermes/Percy Jackson,01 May 2017,Hermes,Percy,,,,,
8980,Nico di Angelo/Will Solace,01 May 2017,Nico,Will,,,,,
8981,Nico di Angelo/Jason Grace,01 May 2017,Nico,Jason,,,,,
8982,Nico di Angelo/Will Solace,01 May 2017,Nico,Will,,,,,
8983,Connor Stoll/Travis Stoll,01 May 2017,Connor,Travis,,,,,
8984,Mitchell/Connor Stoll,01 May 2017,Mitchell,Connor,,,,,
8985,Aphrodite/female oc,01 May 2017,Aphrodite,female oc,,,,,
8986,Aphrodite/Mama Tanaka,01 May 2017,Aphrodite,Mama Tanaka,,,,,
8987,Nico di Angelo/Will Solace,01 May 2017,Nico,Will,,,,,
8988,Nico di Angelo/Will Solace,01 May 2017,Nico,Will,,,,,
8989,Nico di Angelo/Will Solace,28 Apr 2017,Nico,Will,,,,,
8990,Nico di Angelo/Will Solace,28 Apr 2017,Nico,Will,,,,,
8991,Clarisse La Rue/Chris Rodriguez,28 Apr 2017,Clarisse,Chris,,,,,
8992,Nico di Angelo/Percy Jackson,28 Apr 2017,Nico,Percy,,,,,
8993,Bianca di Angelo/Nico di Angelo,28 Apr 2017,Bianca,Nico,,,,,
8994,Percy Jackson/Zoë Nightshade,28 Apr 2017,Percy,Zo,,,,,
8995,Silena Beauregard/Charles Beckendorf,28 Apr 2017,Silena,Charles,,,,,
8996,Silena Beauregard/Clarisse La Rue,28 Apr 2017,Silena,Clarisse,,,,,
8997,Ethan Nakamura/Lacy,28 Apr 2017,Ethan,Lacy,,,,,
8998,Percy/Bob,28 Apr 2017,Percy,Bob,,,,,
8999,Jason Grace/Leo Valdez,28 Apr 2017,Jason,Leo,,,,,
9000,Nico di Angelo/Jason Grace,28 Apr 2017,Nico,Jason,,,,,
9001,Annabeth Chase/Percy Jackson,28 Apr 2017,Annabeth,Percy,,,,,
9002,Annabeth Chase/Rachel Elizabeth Dare,28 Apr 2017,Annabeth,Rachel,,,,,
9003,Luke Castellan/Thalia Grace,28 Apr 2017,Luke,Thalia,,,,,
9004,Annabeth Chase/Percy Jackson,28 Apr 2017,Annabeth,Percy,,,,,
9005,Nico di Angelo/Will Solace,28 Apr 2017,Nico,Will,,,,,
9006,Annabeth Chase/Percy Jackson,28 Apr 2017,Annabeth,Percy,,,,,
9007,Nico di Angelo/Will Solace,28 Apr 2017,Nico,Will,,,,,
9008,Annabeth Chase/Percy Jackson,28 Apr 2017,Annabeth,Percy,,,,,
9009,Nico di Angelo/Will Solace,28 Apr 2017,Nico,Will,,,,,
9010,Hazel Levesque/Leo Valdez/Frank Zhang,28 Apr 2017,Hazel,Leo,Frank,,,,
9011,Nico di Angelo/Will Solace,26 Apr 2017,Nico,Will,,,,,
9012,Annabeth Chase/Percy Jackson,26 Apr 2017,Annabeth,Percy,,,,,
9013,Nico di Angelo/Jason Grace,26 Apr 2017,Nico,Jason,,,,,
9014,Connor Stoll/Reader,26 Apr 2017,Connor,Reader,,,,,
9015,Travis Stoll/Reader,26 Apr 2017,Travis,Reader,,,,,
9016,Connor Stoll/Reader/Travis Stoll,26 Apr 2017,Connor,Reader,Travis,,,,
9017,Nico di Angelo/Will Solace,26 Apr 2017,Nico,Will,,,,,
9018,Nico di Angelo/Percy Jackson,26 Apr 2017,Nico,Percy,,,,,
9019,Annabeth Chase/Percy Jackson,26 Apr 2017,Annabeth,Percy,,,,,
9020,Annabeth Chase/Percy Jackson,26 Apr 2017,Annabeth,Percy,,,,,
9021,Nico di Angelo/Will Solace,26 Apr 2017,Nico,Will,,,,,
9022,Nico di Angelo/Will Solace,26 Apr 2017,Nico,Will,,,,,
9023,Nico di Angelo/Will Solace,26 Apr 2017,Nico,Will,,,,,
9024,Nico di Angelo/Will Solace,26 Apr 2017,Nico,Will,,,,,
9025,Nico di Angelo/Will Solace,26 Apr 2017,Nico,Will,,,,,
9026,Nico di Angelo/Will Solace,26 Apr 2017,Nico,Will,,,,,
9027,Nico di Angelo/Jason Grace/Percy Jackson,26 Apr 2017,Nico,Jason,Percy,,,,
9028,Nico di Angelo/Jason Grace,26 Apr 2017,Nico,Jason,,,,,
9029,Jason Grace/Percy Jackson,26 Apr 2017,Jason,Percy,,,,,
9030,Nico di Angelo/Percy Jackson,26 Apr 2017,Nico,Percy,,,,,
9031,Annabeth Chase/Percy Jackson,26 Apr 2017,Annabeth,Percy,,,,,
9032,Nico di Angelo/Percy Jackson,26 Apr 2017,Nico,Percy,,,,,
9033,Artemis/Zoe Nightshade,23 Apr 2017,Artemis,Zo,,,,,
9034,Artemis/ Zoe,23 Apr 2017,Artemis,Zo,,,,,
9035,Jason Grace/Percy Jackson,23 Apr 2017,Jason,Percy,,,,,
9036,Nico di Angelo/Will Solace,23 Apr 2017,Nico,Will,,,,,
9037,Nico di Angelo/Percy Jackson,23 Apr 2017,Nico,Percy,,,,,
9038,Nico di Angelo/Jason Grace,23 Apr 2017,Nico,Jason,,,,,
9039,Nico di Angelo/Will Solace,23 Apr 2017,Nico,Will,,,,,
9040,Nico di Angelo/Will Solace,23 Apr 2017,Nico,Will,,,,,
9041,Nico di Angelo/Percy Jackson,23 Apr 2017,Nico,Percy,,,,,
9042,Nico di Angelo/Percy Jackson,23 Apr 2017,Nico,Percy,,,,,
9043,Nico di Angelo/Will Solace,23 Apr 2017,Nico,Will,,,,,
9044,Jason Grace/Piper McLean,23 Apr 2017,Jason,Piper,,,,,
9045,Annabeth Chase/Percy Jackson,23 Apr 2017,Annabeth,Percy,,,,,
9046,Nico di Angelo/Will Solace,23 Apr 2017,Nico,Will,,,,,
9047,Percy Jackson/Poseidon,23 Apr 2017,Percy,Poseidon,,,,,
9048,past Percy Jackson/Annabeth Chase - Relationship,23 Apr 2017,Percy,Annabeth,,,,,
9049,Nico di Angelo/Will Solace,23 Apr 2017,Nico,Will,,,,,
9050,Annabeth Chase/Original Character,23 Apr 2017,Annabeth,OC,,,,,
9051,Bianca di Angelo/Luke Castellan,23 Apr 2017,Bianca,Luke,,,,,
9052,Nico di Angelo/Will Solace,23 Apr 2017,Nico,Will,,,,,
9053,Nico di Angelo/Will Solace,23 Apr 2017,Nico,Will,,,,,
9054,Piper McLean/Reyna Avila Ramírez-Arellano,23 Apr 2017,Piper,Reyna,,,,,
9055,Nico di Angelo/Will Solace,23 Apr 2017,Nico,Will,,,,,
9056,Annabeth Chase/Percy Jackson,23 Apr 2017,Annabeth,Percy,,,,,
9057,Hazel Levesque/Frank Zhang,23 Apr 2017,Hazel,Frank,,,,,
9058,Calypso/Leo Valdez,23 Apr 2017,Calypso,Leo,,,,,
9059,Apollo/Zephyros,23 Apr 2017,Apollo,Zephyros,,,,,
9060,Nico di Angelo/Will Solace,23 Apr 2017,Nico,Will,,,,,
9061,Will Solace/Nico di Angelo,23 Apr 2017,Will,Nico,,,,,
9062,Nico di Angelo/Will Solace,23 Apr 2017,Nico,Will,,,,,
9063,Calypso/Leo Valdez,23 Apr 2017,Calypso,Leo,,,,,
9064,Jason Grace/Piper McLean,23 Apr 2017,Jason,Piper,,,,,
9065,Nico di Angelo/Will Solace,23 Apr 2017,Nico,Will,,,,,
9066,Nico di Angelo/Will Solace,23 Apr 2017,Nico,Will,,,,,
9067,Jason Grace/Piper McLean,21 Apr 2017,Jason,Piper,,,,,
9068,Annabeth Chase/Percy Jackson,21 Apr 2017,Annabeth,Percy,,,,,
9069,Artemis/Percy Jackson,21 Apr 2017,Artemis,Percy,,,,,
9070,Paul Blofis/Sally Jackson,21 Apr 2017,Paul Blofis,Sally,,,,,
9071,Annabeth Chase/Original Male Character,21 Apr 2017,Annabeth,OC,,,,,
9072,Amphitrite/Poseidon ,21 Apr 2017,Amphitrite,Poseidon,,,,,
9073,Nico di Angelo/Percy Jackson,21 Apr 2017,Nico,Percy,,,,,
9074,Jason Grace/Percy Jackson,21 Apr 2017,Jason,Percy,,,,,
9075,Annabeth Chase/Percy Jackson,21 Apr 2017,Annabeth,Percy,,,,,
9076,Nico di Angelo/Will Solace,21 Apr 2017,Nico,Will,,,,,
9077,Nico di Angelo/Leo Valdez,21 Apr 2017,Nico,Leo,,,,,
9078,Annabeth Chase/Percy Jackson,21 Apr 2017,Annabeth,Percy,,,,,
9079,Nico di Angelo/Will Solace,21 Apr 2017,Nico,Will,,,,,
9080,Annabeth Chase/Percy Jackson,21 Apr 2017,Annabeth,Percy,,,,,
9081,Apollo/Calypso/Leo Valdez,21 Apr 2017,Apollo,Calypso,Leo,,,,
9082,Apollo/Calypso,21 Apr 2017,Apollo,Calypso,,,,,
9083,Apollo/Leo Valdez,21 Apr 2017,Apollo,Leo,,,,,
9084,Calypso/Leo Valdez,21 Apr 2017,Calypso,Leo,,,,,
9085,Nico di Angelo/Will Solace,21 Apr 2017,Nico,Will,,,,,
9086,Nico di Angelo/Percy Jackson,21 Apr 2017,Nico,Percy,,,,,
9087,Annabeth Chase/Percy Jackson ,21 Apr 2017,Annabeth,Percy,,,,,
9088,Calypso/Leo Valdez,21 Apr 2017,Calypso,Leo,,,,,
9089,Nico di Angelo/Percy Jackson,21 Apr 2017,Nico,Percy,,,,,
9090,Nyssa Barrera/Billie Ng,21 Apr 2017,Nyssa Barrera,Billie Ng,,,,,
9091,Nico di Angelo/Percy Jackson,21 Apr 2017,Nico,Percy,,,,,
9092,Nico di Angelo/Will Solace,21 Apr 2017,Nico,Will,,,,,
9093,Nico di Angelo/Will Solace,18 Apr 2017,Nico,Will,,,,,
9094,Annabeth Chase/Percy Jackson,18 Apr 2017,Annabeth,Percy,,,,,
9095,Thalia Grace/Reyna Avila Ramírez-Arellano,18 Apr 2017,Thalia,Reyna,,,,,
9096,Nico di Angelo/Will Solace,18 Apr 2017,Nico,Will,,,,,
9097,Nico di Angelo/Will Solace,18 Apr 2017,Nico,Will,,,,,
9098,Nico di Angelo/Will Solace,18 Apr 2017,Nico,Will,,,,,
9099,Jason Grace/Percy Jackson,18 Apr 2017,Jason,Percy,,,,,
9100,Calypso/Percy Jackson,18 Apr 2017,Calypso,Percy,,,,,
9101,Annabeth Chase/Percy Jackson,18 Apr 2017,Annabeth,Percy,,,,,
9102,Luke Castellan/Annabeth Chase,18 Apr 2017,Luke,Annabeth,,,,,
9103,Rachel Elizabeth Dare/Percy Jackson,18 Apr 2017,Rachel,Percy,,,,,
9104,Mitchell/Connor Stoll,18 Apr 2017,Mitchell,Connor,,,,,
9105,Katie Gardner/Travis Stoll,18 Apr 2017,Katie,Travis,,,,,
9106,Nico di Angelo/Will Solace,18 Apr 2017,Nico,Will,,,,,
9107,Jason Grace/Piper McLean,18 Apr 2017,Jason,Piper,,,,,
9108,Jason Grace/Percy Jackson,18 Apr 2017,Jason,Percy,,,,,
9109,Annabeth Chase/Piper McLean,18 Apr 2017,Annabeth,Piper,,,,,
9110,Hazel Levesque/Frank Zhang,18 Apr 2017,Hazel,Frank,,,,,
9111,Nico di Angelo/Will Solace,18 Apr 2017,Nico,Will,,,,,
9112,Nico di Angelo/Leo Valdez,18 Apr 2017,Nico,Leo,,,,,
9113,Nico di Angelo/Will Solace,18 Apr 2017,Nico,Will,,,,,
9114,Annabeth Chase/Percy Jackson,18 Apr 2017,Annabeth,Percy,,,,,
9115,Jason Grace/Piper McLean,18 Apr 2017,Jason,Piper,,,,,
9116,Calypso/Leo Valdez,18 Apr 2017,Calypso,Leo,,,,,
9117,Nico di Angelo/Will Solace,18 Apr 2017,Nico,Will,,,,,
9118,Frank Zhang/Reader,18 Apr 2017,Frank,Reader,,,,,
9119,Nico di Angelo/Will Solace,18 Apr 2017,Nico,Will,,,,,
9120,Annabeth Chase/Percy Jackson,18 Apr 2017,Annabeth,Percy,,,,,
9121,Nico di Angelo/Will Solace,18 Apr 2017,Nico,Will,,,,,
9122,Nico di Angelo/Will Solace,18 Apr 2017,Nico,Will,,,,,
9123,Nico di Angelo/Will Solace,18 Apr 2017,Nico,Will,,,,,
9124,Nico di Angelo/Will Solace,18 Apr 2017,Nico,Will,,,,,
9125,Thalia Grace/ Reyna Ramirez Arellano,18 Apr 2017,Thalia,Reyna,,,,,
9126,Nico di Angelo/Jason Grace,18 Apr 2017,Nico,Jason,,,,,
9127,Jason Grace/Piper McLean,18 Apr 2017,Jason,Piper,,,,,
9128,Annabeth Chase/Percy Jackson,18 Apr 2017,Annabeth,Percy,,,,,
9129,Hazel Levesque/Frank Zhang,18 Apr 2017,Hazel,Frank,,,,,
9130,Thalia Grace/Reyna Avila Ramírez-Arellano,15 Apr 2017,Thalia,Reyna,,,,,
9131,Nico di Angelo/Will Solace,15 Apr 2017,Nico,Will,,,,,
9132,Piper McLean/Reyna Avila Ramírez-Arellano,15 Apr 2017,Piper,Reyna,,,,,
9133,Jason Grace/Leo Valdez,15 Apr 2017,Jason,Leo,,,,,
9134,Leo Valdez/Original Character,15 Apr 2017,Leo,OC,,,,,
9135,Nico di Angelo/Original Character,15 Apr 2017,Nico,OC,,,,,
9136,Jason Grace/Original Female Character,15 Apr 2017,Jason,OC,,,,,
9137,Jason Grace/Percy Jackson,15 Apr 2017,Jason,Percy,,,,,
9138,Nico di Angelo/Will Solace,15 Apr 2017,Nico,Will,,,,,
9139,theres not yuri tho bc thats gross :///,15 Apr 2017,theres not yuri tho bc thats gross :,,,,,,
9140,Nico di Angelo/Will Solace,15 Apr 2017,Nico,Will,,,,,
9141,Nico di Angelo/Will Solace,15 Apr 2017,Nico,Will,,,,,
9142,Nico di Angelo/Jason Grace,15 Apr 2017,Nico,Jason,,,,,
9143,Annabeth Chase/Percy Jackson,15 Apr 2017,Annabeth,Percy,,,,,
9144,Annabeth Chase/Jason Grace/Percy Jackson/Piper McLean,15 Apr 2017,Annabeth,Jason,Percy,Piper,,,
9145,Jason Grace/Piper McLean,15 Apr 2017,Jason,Piper,,,,,
9146,Nico di Angelo/Will Solace,15 Apr 2017,Nico,Will,,,,,
9147,Paul Blofis/Sally Jackson,15 Apr 2017,Paul Blofis,Sally,,,,,
9148,Leo Valdez/Frank Zhang,15 Apr 2017,Leo,Frank,,,,,
9149,Charles Beckendorf/Silena Beauregard,15 Apr 2017,Charles,Silena,,,,,
9150,Ethan Nakamura/Alabaster Torrington,15 Apr 2017,Ethan,Alabaster Torrington,,,,,
9151,Chris Rodriguez/Clarisse La Rue,15 Apr 2017,Chris,Clarisse,,,,,
9152,Bianca di Angelo/Thalia Grace,15 Apr 2017,Bianca,Thalia,,,,,
9153,Nico di Angelo/Jason Grace/Will Solace,15 Apr 2017,Nico,Jason,Will,,,,
9154,Percy Jackson/Grover Underwood ,15 Apr 2017,Percy,Grover,,,,,
9155,Connor Stoll/Travis Stoll/Leo Valdez,15 Apr 2017,Connor,Travis,Leo,,,,
9156,Connor Stoll/Nico di Angelo,15 Apr 2017,Connor,Nico,,,,,
9157,Travis Stoll/Luke Castellan,15 Apr 2017,Travis,Luke,,,,,
9158,Percy Jackson/Luke Catellan ,15 Apr 2017,Percy,Luke,,,,,
9159,Mellie/Gleeson Hedge,15 Apr 2017,Mellie,Hedge,,,,,
9160,past Percy Jackson/Octavian,15 Apr 2017,Percy,Octavian,,,,,
9161,Michael Kahale/Octavian,15 Apr 2017,Michael Kahale,Octavian,,,,,
9162,Annabeth Chase/Piper McLean/Reyna Avila Ramírez-Arellano,15 Apr 2017,Annabeth,Piper,Reyna,,,,
9163,implied Frank Zhang/Hazel Levesque,15 Apr 2017,Frank,Hazel,,,,,
9164,Nico di Angelo/Will Solace,15 Apr 2017,Nico,Will,,,,,
9165,Nico di Angelo/Will Solace,15 Apr 2017,Nico,Will,,,,,
9166,Nico di Angelo/Will Solace,15 Apr 2017,Nico,Will,,,,,
9167,Nico di Angelo/Jason Grace,15 Apr 2017,Nico,Jason,,,,,
9168,Nico di Angelo/Will Solace,15 Apr 2017,Nico,Will,,,,,
9169,Nico di Angelo/Will Solace,15 Apr 2017,Nico,Will,,,,,
9170,Nico di Angelo/Jason Grace,15 Apr 2017,Nico,Jason,,,,,
9171,Nico di Angelo/Will Solace,15 Apr 2017,Nico,Will,,,,,
9172,Nico di Angelo/Jason Grace,15 Apr 2017,Nico,Jason,,,,,
9173,Jason Grace/Piper McLean,12 Apr 2017,Jason,Piper,,,,,
9174,Thalia Grace/Reyna Avila Ramírez-Arellano,12 Apr 2017,Thalia,Reyna,,,,,
9175,Nico di Angelo/Will Solace,12 Apr 2017,Nico,Will,,,,,
9176,Nico di Angelo/Will Solace,12 Apr 2017,Nico,Will,,,,,
9177,Nico di Angelo/Will Solace,12 Apr 2017,Nico,Will,,,,,
9178,Nico di Angelo/Will Solace,12 Apr 2017,Nico,Will,,,,,
9179,Annabeth Chase/Triton,12 Apr 2017,Annabeth,Triton,,,,,
9180,Annabeth Chase/Percy Jackson,12 Apr 2017,Annabeth,Percy,,,,,
9181,Juniper/Grover Underwood,12 Apr 2017,Juniper,Grover,,,,,
9182,Hazel Levesque/Frank Zhang,12 Apr 2017,Hazel,Frank,,,,,
9183,Calypso/Leo Valdez,12 Apr 2017,Calypso,Leo,,,,,
9184,Annabeth Chase/Percy Jackson,12 Apr 2017,Annabeth,Percy,,,,,
9185,Luke Castellan/Percy Jackson/Octavian,12 Apr 2017,Luke,Percy,Octavian,,,,
9186,Luke Castellan/Percy Jackson,12 Apr 2017,Luke,Percy,,,,,
9187,Percy Jackson/Octavian,12 Apr 2017,Percy,Octavian,,,,,
9188,Luke Castellan/Octavian,12 Apr 2017,Luke,Octavian,,,,,
9189,Nico di Angelo/Percy Jackson,12 Apr 2017,Nico,Percy,,,,,
9190,Jason Grace/Reyna Avila Ramírez-Arellano,12 Apr 2017,Jason,Reyna,,,,,
9191,Jason Grace/Percy Jackson,12 Apr 2017,Jason,Percy,,,,,
9192,Leo Valdez/Original Character,09 Apr 2017,Leo,OC,,,,,
9193,Nico di Angelo/Will Solace,09 Apr 2017,Nico,Will,,,,,
9194,Nico di Angelo/Will Solace,09 Apr 2017,Nico,Will,,,,,
9195,Nico di Angelo/Will Solace,09 Apr 2017,Nico,Will,,,,,
9196,Annabeth Chase/Reyna Avila Ramírez-Arellano,09 Apr 2017,Annabeth,Reyna,,,,,
9197,Nico di Angelo/Will Solace,09 Apr 2017,Nico,Will,,,,,
9198,Annabeth Chase/Percy Jackson,09 Apr 2017,Annabeth,Percy,,,,,
9199,Annabeth Chase/Percy Jackson,09 Apr 2017,Annabeth,Percy,,,,,
9200,Nico di Angelo/Will Solace,09 Apr 2017,Nico,Will,,,,,
9201,Jason Grace/Piper McLean,09 Apr 2017,Jason,Piper,,,,,
9202,Calypso/Leo Valdez,09 Apr 2017,Calypso,Leo,,,,,
9203,Hazel Levesque/Frank Zhang,09 Apr 2017,Hazel,Frank,,,,,
9204,Paul Blofis/Sally Jackson,09 Apr 2017,Paul Blofis,Sally,,,,,
9205,Jason Grace/Percy Jackson,09 Apr 2017,Jason,Percy,,,,,
9206,Annabeth Chase/Piper McLean,09 Apr 2017,Annabeth,Piper,,,,,
9207,Nico di Angelo/Will Solace,09 Apr 2017,Nico,Will,,,,,
9208,Hazel Levesque/Frank Zhang,09 Apr 2017,Hazel,Frank,,,,,
9209,Hazel Levesque/Leo Valdez/Frank Zhang,09 Apr 2017,Hazel,Leo,Frank,,,,
9210,Nico di Angelo/Will Solace,09 Apr 2017,Nico,Will,,,,,
9211,Will Solace/Nico di Angelo,09 Apr 2017,Will,Nico,,,,,
9212,Nico di Angelo/Will Solace,09 Apr 2017,Nico,Will,,,,,
9213,Nico di Angelo/Jason Grace,09 Apr 2017,Nico,Jason,,,,,
9214,Annabeth Chase/Percy Jackson,09 Apr 2017,Annabeth,Percy,,,,,
9215,Annabeth Chase/Percy Jackson,09 Apr 2017,Annabeth,Percy,,,,,
9216,Nico di Angelo/Will Solace,09 Apr 2017,Nico,Will,,,,,
9217,Jason Grace/Percy Jackson,09 Apr 2017,Jason,Percy,,,,,
9218,Nico di Angelo/Will Solace,04 Apr 2017,Nico,Will,,,,,
9219,Nico di Angelo/Jason Grace,04 Apr 2017,Nico,Jason,,,,,
9220,Jason Grace/Piper McLean/Leo Valdez,04 Apr 2017,Jason,Piper,Leo,,,,
9221,Jason Grace/Piper McLean,04 Apr 2017,Jason,Piper,,,,,
9222,Jason Grace/Leo Valdez,04 Apr 2017,Jason,Leo,,,,,
9223,Piper McLean/Leo Valdez,04 Apr 2017,Piper,Leo,,,,,
9224,Jason Grace/Percy Jackson,04 Apr 2017,Jason,Percy,,,,,
9225,Nico di Angelo/Will Solace,04 Apr 2017,Nico,Will,,,,,
9226,Nico di Angelo/Will Solace,04 Apr 2017,Nico,Will,,,,,
9227,Rachel Elizabeth Dare/Percy Jackson,04 Apr 2017,Rachel,Percy,,,,,
9228,Nico di Angelo/Percy Jackson,04 Apr 2017,Nico,Percy,,,,,
9229,May Castellan/Hermes,04 Apr 2017,May Castellan,Hermes,,,,,
9230,Nico di Angelo/Jason Grace,04 Apr 2017,Nico,Jason,,,,,
9231,Luke Castellan/Original Female Character,04 Apr 2017,Luke,OC,,,,,
9232,Annabeth Chase/Percy Jackson,04 Apr 2017,Annabeth,Percy,,,,,
9233,Nico di Angelo/Will Solace,04 Apr 2017,Nico,Will,,,,,
9234,Nico di Angelo/Will Solace,04 Apr 2017,Nico,Will,,,,,
9235,Jake Mason/Will Solace,04 Apr 2017,Jake Mason,Will,,,,,
9236,Nico di Angelo/Will Solace,04 Apr 2017,Nico,Will,,,,,
9237,Reyna Avila Ramírez-Arellano/Reader,04 Apr 2017,Reyna,Reader,,,,,
9238,Jason Grace/Piper McLean,04 Apr 2017,Jason,Piper,,,,,
9239,Jason Grace/Leo Valdez,04 Apr 2017,Jason,Leo,,,,,
9240,Jason Grace/Piper McLean,04 Apr 2017,Jason,Piper,,,,,
9241,Drew Tanaka/Original Character,04 Apr 2017,Drew,OC,,,,,
9242,Nico di Angelo/Will Solace,04 Apr 2017,Nico,Will,,,,,
9243,Nico di Angelo/Will Solace,30 Mar 2017,Nico,Will,,,,,
9244,Nico di Angelo/Will Solace,30 Mar 2017,Nico,Will,,,,,
9245,Jason Grace/Piper McLean,30 Mar 2017,Jason,Piper,,,,,
9246,Will/Nico,30 Mar 2017,Will,Nico,,,,,
9247,Nico di Angelo/Will Solace,30 Mar 2017,Nico,Will,,,,,
9248,Annabeth Chase/Percy Jackson,30 Mar 2017,Annabeth,Percy,,,,,
9249,Nico di Angelo/Will Solace,30 Mar 2017,Nico,Will,,,,,
9250,Nico di Angelo/Will Solace,30 Mar 2017,Nico,Will,,,,,
9251,Nico di Angelo/Jason Grace,30 Mar 2017,Nico,Jason,,,,,
9252,Piper McLean/Leo Valdez,30 Mar 2017,Piper,Leo,,,,,
9253,Nico di Angelo/Will Solace,30 Mar 2017,Nico,Will,,,,,
9254,Annabeth Chase/Percy Jackson,30 Mar 2017,Annabeth,Percy,,,,,
9255,Jason Grace/Piper McLean,30 Mar 2017,Jason,Piper,,,,,
9256,Hazel Levesque/Frank Zhang,30 Mar 2017,Hazel,Frank,,,,,
9257,Nico di Angelo/Will Solace,30 Mar 2017,Nico,Will,,,,,
9258,Annabeth Chase/Percy Jackson,30 Mar 2017,Annabeth,Percy,,,,,
9259,Hazel Levesque/Frank Zhang,30 Mar 2017,Hazel,Frank,,,,,
9260,Jason Grace/Piper McLean,30 Mar 2017,Jason,Piper,,,,,
9261,Jason Grace/Percy Jackson,30 Mar 2017,Jason,Percy,,,,,
9262,Jason Grace/Leo Valdez,30 Mar 2017,Jason,Leo,,,,,
9263,Piper McLean/Reyna Avila Ramírez-Arellano,30 Mar 2017,Piper,Reyna,,,,,
9264,Apollo/Calypso/Leo Valdez,30 Mar 2017,Apollo,Calypso,Leo,,,,
9265,Apollo/Leo Valdez,30 Mar 2017,Apollo,Leo,,,,,
9266,Calypso/Leo Valdez,30 Mar 2017,Calypso,Leo,,,,,
9267,Apollo/Calypso,30 Mar 2017,Apollo,Calypso,,,,,
9268,Nico di Angelo/Percy Jackson,30 Mar 2017,Nico,Percy,,,,,
9269,Nico di Angelo/Will Solace,30 Mar 2017,Nico,Will,,,,,
9270,Annabeth Chase/Percy Jackson,30 Mar 2017,Annabeth,Percy,,,,,
9271,Thalia Grace/Reyna Avila Ramírez-Arellano,30 Mar 2017,Thalia,Reyna,,,,,
9272,Jason Grace/Piper McLean,30 Mar 2017,Jason,Piper,,,,,
9273,Nico di Angelo/Will Solace,30 Mar 2017,Nico,Will,,,,,
9274,Nico di Angelo/Will Solace,26 Mar 2017,Nico,Will,,,,,
9275,Nico di Angelo/Will Solace,26 Mar 2017,Nico,Will,,,,,
9276,Nico di Angelo/Will Solace,26 Mar 2017,Nico,Will,,,,,
9277,Thanatos/Artemis,26 Mar 2017,Thanatos,Artemis,,,,,
9278,Romulus/Remus/Princess,26 Mar 2017,Romulus,Remus,Princess,,,,
9279,Rayne/Apollo,26 Mar 2017,Rayne,Apollo,,,,,
9280,Nico di Angelo/Will Solace,26 Mar 2017,Nico,Will,,,,,
9281,Nico di Angelo/Will Solace,26 Mar 2017,Nico,Will,,,,,
9282,Nico di Angelo/Jason Grace,26 Mar 2017,Nico,Jason,,,,,
9283,Jason Grace/Leo Valdez,26 Mar 2017,Jason,Leo,,,,,
9284,Nico di Angelo/Will Solace,26 Mar 2017,Nico,Will,,,,,
9285,Nico di Angelo/Will Solace,26 Mar 2017,Nico,Will,,,,,
9286,Nico/Percy,26 Mar 2017,Nico,Percy,,,,,
9287,Luke Castellan/Ethan Nakamura,26 Mar 2017,Luke,Ethan,,,,,
9288,Nico di Angelo/Will Solace,26 Mar 2017,Nico,Will,,,,,
9289,Annabeth Chase/Percy Jackson,26 Mar 2017,Annabeth,Percy,,,,,
9290,Nico di Angelo/Will Solace,26 Mar 2017,Nico,Will,,,,,
